TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
3,1,1628790425.309164,1628790425.336045,0.026881,dataReportSetup,SystemScheduler,slot3,7068550480599603719
2,1,1628790425.280296,1628790425.298685,0.018389,getScannedSN,SystemScheduler,slot3,7068550480599603719
4,1,1628790425.343965,1628790425.362713,0.018748,VariableInit,SystemScheduler,slot3,7068550480599603719
1,1,1628790425.274665,1628790425.362739,0.088074,GraphIndex0,SystemScheduler,slot3,7068550480599603719
57,2,1628790572.659628,1628790572.763692,0.104064,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO1,slot3,2275910513947833059
57,2,1628790572.764166,1628790572.867549,0.103383,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO2,slot3,2275910513947833059
57,2,1628790569.957096,1628790570.166918,0.209822,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 DELAY_200MS_2,slot3,2275910513947833059
57,2,1628790571.082038,1628790571.610005,0.527967,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 PPLED_BACK_REG,slot3,2275910513947833059
57,2,1628790570.295939,1628790570.394807,0.098868,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 VCC_MAIN_backlight_OFF,slot3,2275910513947833059
57,2,1628790572.868019,1628790572.971882,0.103863,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO3,slot3,2275910513947833059
57,2,1628790572.972503,1628790573.074722,0.102219,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO4,slot3,2275910513947833059
57,2,1628790573.075282,1628790573.178399,0.103117,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO5,slot3,2275910513947833059
57,2,1628790570.936917,1628790571.081766,0.144849,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 BACKLIGHT_PWM21K_To_Min,slot3,2275910513947833059
57,2,1628790570.395250,1628790570.420417,0.025167,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Turn_Backlight_LED_High,slot3,2275910513947833059
57,2,1628790573.178890,1628790573.284357,0.105467,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO6,slot3,2275910513947833059
57,2,1628790569.923082,1628790573.716180,3.793098,Backlight_MinBrightness_PWMMode_VBAT4V3_1,SystemScheduler,slot3,2275910513947833059
57,2,1628790572.625325,1628790572.658892,0.033567,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 SET_LED_Gain_1000,slot3,2275910513947833059
57,2,1628790570.167155,1628790570.295612,0.128457,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 IBATT_backlight_OFF,slot3,2275910513947833059
57,2,1628790573.284778,1628790573.389037,0.104259,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO7,slot3,2275910513947833059
57,2,1628790573.389485,1628790573.496288,0.106803,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO8,slot3,2275910513947833059
57,2,1628790570.420961,1628790570.936804,0.515843,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 DELAY_500MS,slot3,2275910513947833059
57,2,1628790571.610338,1628790572.624988,1.014650,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 DELAY_1000MS,slot3,2275910513947833059
57,2,1628790573.496650,1628790573.601079,0.104429,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 Current_LEDIO9,slot3,2275910513947833059
57,2,1628790569.938863,1628790569.956639,0.017776,Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display Backlight_MinBrightness_PWMMode_VBAT4V3_1 BATT_Power_4V3,slot3,2275910513947833059
