Column 1,Column 2,Column 3,Column 4
TestName,SubItem,SubSubItem,test time(s)
Fixture,Initialization,SequenceUnlock,0.000000
Fixture,Channel,ID,0.001694
Fixture,HardwareCheck_1,VendorID,0.001290
Fixture,HardwareCheck_1,Station,0.000728
Fixture,SoftwareCheck,AceFW_OnMac,0.000722
Fixture,SoftwareCheck,AceFW_OnXavier,0.000700
Fixture,GeneralAction,Reset_Initial,0.000783
Fixture,HardwareCheck_1,UUT_Presence,0.000770
Fixture,HardwareCheck_1,FixtureSN,0.600137
Fixture,HardwareCheck_1,FixtureSanitySN,0.014178
Fixture,HardwareCheck_1,VDM_SN,0.007668
Fixture,HardwareCheck_1,EloadSN,0.014029
Fixture,HardwareCheck_1,ScopeSN,0.010905
Fixture,HardwareCheck_1,OAB3_SN,0.009586
Fixture,SoftwareCheck,XavierFW,0.006137
Fixture,HardwareCheck_2,XavierIP,0.052990
,,,
,,,
,,,
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT,0.006155
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT,0.005468
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT,0.006911
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT,0.006404
,,,
Power,Discharge_Initial,SPK_BST_Discharge,0.007063
Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge,1.006316
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,0.009710
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT,0.005670
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT,0.006691
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT,0.005699
Power,Discharge_Initial,SPK_BST_Discharge_Disable,0.005865
Power,VoltageCheck_Safety_VBAT0V8,UUT_UART_ENABLE,0.005767
Power,VoltageCheck_Safety_VBAT0V8,Bellatrix_UART_ENABLE,0.005417
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_ON,0.008666
Power,VoltageCheck_Safety_VBAT0V8,DELAY_10MS_1,0.013584
Power,VoltageCheck_Safety_VBAT0V8,BATT_MODE_TO_SMALL,0.007205
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V8,0.025157
Power,VoltageCheck_Safety_VBAT0V8,DELAY_100MS_1,0.105673
Power,VoltageCheck_Safety_VBAT0V8,PPBATT_VCC_FB,0.102194
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_OFF,0.006898
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V,0.018864
Power,Discharge_Initial_1,PPVBUS_USB_EMI_DISCHARGE_CONNECT,0.006683
Power,Discharge_Initial_1,PPBATT_VCC_DISCHARGE_CONNECT,0.006921
Power,Discharge_Initial_1,PPVCC_MAIN_DISCHARGE_CONNECT,0.006536
Power,Discharge_Initial_1,PPVCC_HIGH_DISCHARGE_CONNECT,0.006924
Power,Discharge_Initial_1,SPK_BST_Discharge,0.006508
Power,Discharge_Initial_1,DELAY_1000MS_After_Connect_Discharge,1.002889
Power,Discharge_Initial_1,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,0.006130
Power,Discharge_Initial_1,PPBATT_VCC_DISCHARGE_DISCONNECT,0.008198
Power,Discharge_Initial_1,PPVCC_MAIN_DISCHARGE_DISCONNECT,0.004794
Power,Discharge_Initial_1,PPVCC_HIGH_DISCHARGE_DISCONNECT,0.006641
Power,Discharge_Initial_1,SPK_BST_Discharge_Disable,0.007148
Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_VDM,0.014486
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_ON,0.009279
Power,VoltageCheck_Safety_VBUS1V25,DELAY_10MS_1,0.010575
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_1V25,0.016767
Power,VoltageCheck_Safety_VBUS1V25,DELAY_100MS_1,0.105954
Power,VoltageCheck_Safety_VBUS1V25,PPVBUS_USB_EMI,0.100463
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_OFF,0.008355
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_0V,0.017448
Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_DISCONNECT,0.014551
Power,Discharge_Initial_2,PPVBUS_USB_EMI_DISCHARGE_CONNECT,0.006012
Power,Discharge_Initial_2,PPBATT_VCC_DISCHARGE_CONNECT,0.005946
Power,Discharge_Initial_2,PPVCC_MAIN_DISCHARGE_CONNECT,0.005187
Power,Discharge_Initial_2,PPVCC_HIGH_DISCHARGE_CONNECT,0.005789
Power,Discharge_Initial_2,SPK_BST_Discharge,0.006965
Power,Discharge_Initial_2,DELAY_2000MS_After_Connect_Discharge,2.006233
Power,Discharge_Initial_2,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,0.006557
Power,Discharge_Initial_2,PPBATT_VCC_DISCHARGE_DISCONNECT,0.006257
Power,Discharge_Initial_2,PPVCC_MAIN_DISCHARGE_DISCONNECT,0.008125
Power,Discharge_Initial_2,PPVCC_HIGH_DISCHARGE_DISCONNECT,0.005830
Power,Discharge_Initial_2,SPK_BST_Discharge_Disable,0.005813
Power,VoltageCheck_Safety_VBAT4V3,UUT_UART_ENABLE,0.005498
Power,VoltageCheck_Safety_VBAT4V3,Bellatrix_UART_ENABLE,0.004518
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG,0.010726
