ENABLE,PDCAPREFIX,TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,ENVIRONMENT,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,PARAMETER,COF
0,2001,SOC,RTOS_Setup_Boot,,FIXTURESIGNAL_BOOT_RTOS,60,Rush,restore,0,,SEGPE>,PERTOS,xVT,AAB,,,,1
1,2002,SOC,"print test plan version",,"echo >>>> TEST_PLAN V0.9.1.3 - B0 - 20200805 <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2003,SOC,DUMP-PERTOS-INFO,,buildinfo,5,Dut,sendCommand,0,,"PASS buildinfo",PERTOS,xVT,AAB,,,,1
1,2004,SOC,DUMP-FUSE-ECID,,"fuse ecid",5,Dut,sendCommand,0,,"PASS fuse ecid",PERTOS,xVT,AAB,,,,1
1,2005,SOC,DUMP-FUSE-CONFIG,,"fuse config",5,Dut,sendCommand,0,,"PASS fuse config",PERTOS,xVT,AAB,,,,1
1,2006,SOC,DUMP-FUSE-RAW,,"fuse raw",5,Dut,sendCommand,0,,"PASS fuse raw",PERTOS,xVT,AAB,,,,1
1,2007,SOC,SET-DDR-FSX,,"mmu ddr-protect fs3",5,Dut,sendCommand,0,,"PASS mmu ddr-protect fs3",PERTOS,xVT,"A -> FA",,,,1
1,2008,SOC,SET-BIN-VOLTAGE,,"pmgr vmode bin",5,Dut,sendCommand,0,,"PASS pmgr vmode bin",PERTOS,xVT,"A -> FA",,,,1
1,2009,SOC,SET-DDR1V1-PMU,,"pmu Vddr1v1 1040000",5,Dut,sendCommand,0,,"PASS pmu Vddr1v1 1040000",PERTOS,xVT,"A -> FA",,,,1
1,2010,SOC,SET-PERF-0x2202233,,"pmgr mode 0x2202233",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202233",PERTOS,xVT,"A -> FA",,,,1
1,2011,SOC,DUMP-PMU-1,,"pmu rails",5,Dut,sendCommand,0,,"PASS pmu rails",PERTOS,xVT,"A -> FA",,,,1
1,2012,SOC,SET-PMGR-ANE-ON,,"pmgr ane on",5,Dut,sendCommand,0,,"PASS pmgr ane on",PERTOS,xVT,"A -> FA",,,,1
1,2013,SOC,SET-PMGR-ISP-ON,,"pmgr power-up isp",5,Dut,sendCommand,0,,"PASS pmgr power-up isp",PERTOS,xVT,"A -> FA",,,,1
1,2014,SOC,SET-CORE-UP,,"core up acc",5,Dut,sendCommand,0,,"PASS core up acc",PERTOS,xVT,"A -> FA",,,,1
1,2015,SOC,SET-INIT-MTR,,"ts init mtr",5,Dut,sendCommand,0,,"PASS ts init mtr",PERTOS,xVT,"A -> FA",,,,1
1,2016,SOC,SET-RD-MTR,,"ts rd",5,Dut,sendCommand,0,,"PASS ts rd",PERTOS,xVT,"A -> FA",,,,1
1,2017,SOC,SET-PERF-0x1100204,,"pmgr mode 0x1100204",5,Dut,sendCommand,0,,"PASS pmgr mode 0x1100204",PERTOS,xVT,"A -> FA",,,,1
1,2018,SOC,TEST-SC53-MTR,,"sc run 53 10",100,Dut,sendCommand,0,,"PASS sc run 53 10",PERTOS,xVT,"A -> FA",,,,1
1,2019,SOC,SET-PERF-0x2202234,,"pmgr mode 0x2202234",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202234",PERTOS,xVT,"A -> FA",,,,1
1,2020,SOC,SET-CLK-JITTER-10,,"os jitter 10",5,Dut,sendCommand,0,,"PASS os jitter 10",PERTOS,xVT,"A -> FA",,,,1
1,2021,SOC,SET-TEMP-SENSOR-AUTO,,"ts reset auto",5,Dut,sendCommand,0,,"PASS ts reset auto",PERTOS,xVT,"A -> FA",,,,1
1,2022,SOC,SET-TOOHOT-105,,"therm toohot 105 10 105 10 7 1",5,Dut,sendCommand,0,,"PASS therm toohot 105 10 105 10 7 1",PERTOS,xVT,"A -> FA",,,,1
1,2023,SOC,SET-SOCHOT-125,,"therm sochot 125",5,Dut,sendCommand,0,,"PASS therm sochot 125",PERTOS,xVT,"A -> FA",,,,1
1,2024,SOC,SET-CFG-TELEM,,"telem config mss",5,Dut,sendCommand,0,,"PASS telem config mss",PERTOS,xVT,"A -> FA",,,,1
1,2025,SOC,TEST-TELEM,,"telem test config 10 125 250",5,Dut,sendCommand,0,,"PASS telem test config 10 125 250",PERTOS,xVT,"A -> FA",,,,1
1,2026,SOC,TEST-TELEM-EN,,"telem test enable",5,Dut,sendCommand,0,,"PASS telem test enable",PERTOS,xVT,"A -> FA",,,,1
1,2027,SOC,SET-DPE-ON,,"acc dpeppt on",5,Dut,sendCommand,0,,"PASS acc dpeppt on",PERTOS,xVT,"A -> FA",,,,1
1,2028,SOC,SET-UT-ON,,"ut all on",60,Dut,sendCommand,0,,"PASS ut all on",PERTOS,xVT,"A -> FA",,,,1
1,2029,SOC,SET-OCLAMON-CFG,,"oclamon adc config -e -p -c 7 -m -peak_min",5,Dut,sendCommand,0,,"PASS oclamon adc config -e -p -c 7 -m -peak_min",PERTOS,xVT,"A -> FA",,,,1
1,2030,SOC,SET-OCLAMON-ON,,"oclamon adc on",5,Dut,sendCommand,0,,"PASS oclamon adc on",PERTOS,xVT,"A -> FA",,,,1
1,2031,SOC,SET-OCLAMON-DVFM,,"oclamon teldvfm on",5,Dut,sendCommand,0,,"PASS oclamon teldvfm on",PERTOS,xVT,"A -> FA",,,,1
1,2032,SOC,SET-OCLAMON-TAG-ON,,"oclamon scenario_tags on",5,Dut,sendCommand,0,,"PASS oclamon scenario_tags on",PERTOS,xVT,"A -> FA",,,,1
1,2033,SOC,NRG-ON,,"acc nrg on",5,Dut,sendCommand,0,,"PASS acc nrg on",PERTOS,xVT,"A -> FA",,,,1
1,2034,SOC,DUMP-PMU-2,,"pmu rails",5,Dut,sendCommand,0,,"PASS pmu rails",PERTOS,xVT,"A -> FA",,,,1
1,2035,SOC,SET-PERF-0x2202236,,"pmgr mode 0x2202236",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202236",PERTOS,xVT,"A -> FA",,,,1
1,2036,SOC,DUMP-DDR-INFO,,"ddr print info",5,Dut,sendCommand,0,,"PASS ddr print info",PERTOS,xVT,"A -> FA",,,,1
1,2037,SOC,DUMP-DDR-LOTID,,"ddr print lotid",5,Dut,sendCommand,0,,"PASS ddr print lotid",PERTOS,xVT,"A -> FA",,,,1
1,2038,SOC,TEST-SC54-DRAM-PKG,,"sc run 54",100,Dut,sendCommand,0,,"PASS sc run 54",PERTOS,xVT,"A -> FA",,,,1
1,2039,SOC,SET-PERF-0x2202234-2,,"pmgr mode 0x2202234",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202234",PERTOS,xVT,"A -> FA",,,,1
1,2040,SOC,TEST-CORE,,"core test 0xff 50",60,Dut,sendCommand,0,,"PASS core test 0xff 50",PERTOS,xVT,"A -> FA",,,,1
1,2041,SOC,TEST-SC5-SEP,,"sc run 5 5",100,Dut,sendCommand,0,,"PASS sc run 5 5",PERTOS,xVT,"A -> FA",,,,1
1,2042,SOC,ECHO-ACC+BBQ-SECTION,,"echo >>>> ANE + BBQ Tests <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2043,SOC,SET-BBQ-3P-AMX-ANE-CFG-1,,"bbq config fg 625 0 4 150  0 0 E B",5,Dut,sendCommand,0,,"PASS bbq config fg 625 0 4 150  0 0 E B",PERTOS,xVT,"A -> FA",,,,1
1,2044,SOC,SET-BBQ-3P-AMX-ANE-CFG-2,,"bbq config 0xFF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xFF 500 150 5 100 24 6 E B",PERTOS,xVT,"A -> FA",,,,1
1,2045,SOC,SET-BBQ-ON,,"bbq on",15,Dut,sendCommand,0,,"PASS bbq on",PERTOS,xVT,"A -> FA",,,,1
1,2046,SOC,ECHO-1CORE-85C-SECTION-Pe,,"echo >>>> 1P below 85C <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
