ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,3001,SET-RESET-MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3002,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3003,DUMP-NOM-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3004,DUMP-NOM-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3005,DUMP-NOM-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3006,DUMP-NOM-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3007,DUMP-NOM-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3008,SET-NOM-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3009,DUMP-NOM-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3010,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3011,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3012,DUMP-NOM-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3013,SET-NOM-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3014,DUMP-NOM-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3015,RBM-NOM,rbm-nom -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3016,DUMP-NOM-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3017,DUMP-NOM-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3018,DUMP-NOM-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3019,DUMP-NOM-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3020,DUMP-NOM-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3021,DUMP-NOM-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3022,DUMP-NOM-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3023,DUMP-NOM-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3024,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3025,FIXTURESIGNAL_SETFANSPEED_100,FIXTURESIGNAL_SETFANSPEED_100,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3026,DUMP-BBQ-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3027,DUMP-BBQ-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3028,DUMP-BBQ-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3029,DUMP-BBQ-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3030,DUMP-BBQ-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3031,SET-BBQ-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3032,DUMP-BBQ-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3033,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3034,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3035,DUMP-BBQ-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3036,SET-BBQ-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3037,DUMP-BBQ-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3038,RBM-BBQ,rbm-bbq -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3039,DUMP-BBQ-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3040,DUMP-BBQ-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3041,DUMP-BBQ-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3042,DUMP-BBQ-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3043,DUMP-BBQ-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3044,DUMP-BBQ-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3045,DUMP-BBQ-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3046,DUMP-BBQ-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3047,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3048,FIXTURESIGNAL_SETFANSPEED_100,FIXTURESIGNAL_SETFANSPEED_100,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3049,DUMP-PV1-PCORE-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3050,DUMP-PV1-PCORE-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3051,DUMP-PV1-PCORE-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3052,DUMP-PV1-PCORE-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3053,DUMP-PV1-PCORE-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3054,SET-PV1-PCORE-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3055,DUMP-PV1-PCORE-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3056,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3057,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3058,DUMP-PV1-PCORE-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3059,SET-PV1-PCORE-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3060,DUMP-PV1-PCORE-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3061,RBM-PV1-PCORE,rbm-pv1-pcore -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3062,DUMP-PV1-PCORE-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3063,DUMP-PV1-PCORE-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3064,DUMP-PV1-PCORE-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3065,DUMP-PV1-PCORE-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3066,DUMP-PV1-PCORE-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3067,DUMP-PV1-PCORE-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3068,DUMP-PV1-PCORE-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3069,DUMP-PV1-PCORE-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3070,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3071,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3072,DUMP-PGT-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3073,DUMP-PGT-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3074,DUMP-PGT-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3075,DUMP-PGT-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3076,DUMP-PGT-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3077,SET-PGT-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3078,DUMP-PGT-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3079,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3080,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3081,DUMP-PGT-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3082,SET-PGT-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3083,DUMP-PGT-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3084,RBM-PGT,rbm-pgt-test -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3085,DUMP-PGT-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3086,DUMP-PGT-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3087,DUMP-PGT-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3088,DUMP-PGT-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3089,DUMP-PGT-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3090,DUMP-PGT-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3091,DUMP-PGT-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3092,DUMP-PGT-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3093,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3094,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
