ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
0,2002,RTOS_Setup_Boot,FIXTURESIGNAL_BOOT_RTOS,60,Rush,restore,0,,SEGPE>,PERTOS,xVT,AAB,,,1
1,2004,"print test plan version","echo >>>> TEST_PLAN V0.9.0.2 - Tonga A1 - 20200308 <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,1
1,2005,DUMP-PERTOS-INFO,buildinfo,5,Dut,sendCommand,0,,"PASS buildinfo",PERTOS,xVT,AAB,,,1
1,2006,DUMP-FUSE-CONFIG,"fuse config",5,Dut,sendCommand,0,,"PASS fuse config",PERTOS,xVT,AAB,,,1
1,2007,DUMP-FUSE-ECID,"fuse ecid",5,Dut,sendCommand,0,,"PASS fuse ecid",PERTOS,xVT,AAB,,,1
1,2008,DUMP-FUSE-RAW,"fuse raw",5,Dut,sendCommand,0,,"PASS fuse raw",PERTOS,xVT,AAB,,,1
1,2009,SET-DDR-FSX,"mmu ddr-protect fsx",5,Dut,sendCommand,0,,"PASS mmu ddr-protect fsx",PERTOS,xVT,AAB,,,1
1,2010,SET-BIN-VOLTAGE,"pmgr vmode bin",5,Dut,sendCommand,0,,"PASS pmgr vmode bin",PERTOS,xVT,AAB,,,1
1,2011,SET-DDR1V1-D3,"pmgr update-volt -vd 3 1060000",5,Dut,sendCommand,0,,"PASS pmgr update-volt -vd 3 1060000",PERTOS,xVT,AAB,,,1
1,2012,SET-DDR1V1-D4,"pmgr update-volt -vd 4 1060000",5,Dut,sendCommand,0,,"PASS pmgr update-volt -vd 4 1060000",PERTOS,xVT,AAB,,,1
1,2013,SET-DDR1V1-D5,"pmgr update-volt -vd 5 1060000",5,Dut,sendCommand,0,,"PASS pmgr update-volt -vd 5 1060000",PERTOS,xVT,AAB,,,1
1,2014,SET-DDR1V1-D6,"pmgr update-volt -vd 6 1060000",5,Dut,sendCommand,0,,"PASS pmgr update-volt -vd 6 1060000",PERTOS,xVT,AAB,,,1
1,2015,SET-DDR1V1-PMU,"pmu Vddr1v1 1060000",5,Dut,sendCommand,0,,"PASS pmu Vddr1v1 1060000",PERTOS,xVT,AAB,,,1
1,2016,SET-MS003-UP,"pmgr offset -s 3 +28125",10,Dut,sendCommand,0,,"PASS pmgr offset -s 3 +28125",PERTOS,xVT,AAB,,,1
1,2017,SET-MS004-UP,"pmgr offset -s 4 +28125",10,Dut,sendCommand,0,,"PASS pmgr offset -s 4 +28125",PERTOS,xVT,AAB,,,1
1,2018,SET-MS005-UP,"pmgr offset -s 5 +28125",10,Dut,sendCommand,0,,"PASS pmgr offset -s 5 +28125",PERTOS,xVT,AAB,,,1
1,2019,SET-VDDQL-600,"pmu Vddql 600000",5,Dut,sendCommand,0,,"PASS pmu Vddql 600000",PERTOS,xVT,AAB,,,1
1,2020,SET-PERF-0x2202133,"pmgr mode 0x2202133",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202133",PERTOS,xVT,AAB,,,1
1,2021,DUMP-PMU-1,"pmu rails",5,Dut,sendCommand,0,,"PASS pmu rails",PERTOS,xVT,AAB,,,1
1,2022,SET-PMGR-ANE-ON,"pmgr ane on",5,Dut,sendCommand,0,,"PASS pmgr ane on",PERTOS,xVT,AAB,,,1
1,2023,SET-PMGR-ISP-ON,"pmgr power-up isp",5,Dut,sendCommand,0,,"PASS pmgr power-up isp",PERTOS,xVT,AAB,,,1
1,2024,SET-BUCK12-MINI,"pmu wr 0 0x5039 0x0",5,Dut,sendCommand,0,,"PASS pmu wr 0 0x5039 0x0",PERTOS,xVT,AAB,,,1
1,2025,SET-BUCK12-MAX,"pmu wr 1 0x5038 0xff",5,Dut,sendCommand,0,,"PASS pmu wr 1 0x5038 0xff",PERTOS,xVT,AAB,,,1
1,2026,SET-PERF-0x0000104,"pmgr mode 0x0000104",5,Dut,sendCommand,0,,"PASS pmgr mode 0x0000104",PERTOS,xVT,AAB,,,1
1,2027,SET-PERF-0x2202134,"pmgr mode 0x2202134",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202134",PERTOS,xVT,AAB,,,1
1,2028,"SET-CORE-UP ","core up acc",5,Dut,sendCommand,0,,"PASS core up acc",PERTOS,xVT,AAB,,,1
1,2029,SET-INIT-MTR,"ts init mtr",5,Dut,sendCommand,0,,"PASS ts init mtr",PERTOS,xVT,AAB,,,1
1,2030,SET-RD-MTR,"ts rd",5,Dut,sendCommand,0,,"PASS ts rd",PERTOS,xVT,AAB,,,1
1,2031,SET-CLK-JITTER-10,"os jitter 10",5,Dut,sendCommand,0,,"PASS os jitter 10",PERTOS,xVT,AAB,,,1
1,2032,SET-TEMP-SENSOR-AUTO,"ts reset auto",5,Dut,sendCommand,0,,"PASS ts reset auto",PERTOS,xVT,AAB,,,1
1,2033,SET-TOOHOT-93,"therm toohot 93 10 93 10 7 1",5,Dut,sendCommand,0,,"PASS therm toohot 93 10 93 10 7 1",PERTOS,xVT,AAB,,,1
1,2034,SET-SOCHOT-113,"therm sochot 113",5,Dut,sendCommand,0,,"PASS therm sochot 113",PERTOS,xVT,AAB,,,1
1,2035,SET-CFG-TELEM,"telem config mss",5,Dut,sendCommand,0,,"PASS telem config mss",PERTOS,xVT,AAB,,,1
1,2036,TEST-TELEM,"telem test config 10 125 250",5,Dut,sendCommand,0,,"PASS telem test config 10 125 250",PERTOS,xVT,AAB,,,1
1,2037,TEST-TELEM-EN,"telem test enable",5,Dut,sendCommand,0,,"PASS telem test enable",PERTOS,xVT,AAB,,,1
1,2038,SET-DPE-ON,"acc dpeppt on",5,Dut,sendCommand,0,,"PASS acc dpeppt on",PERTOS,xVT,AAB,,,1
1,2039,SET-OCLAMON-CFG,"oclamon adc config -e -p -c 7 -m -peak_min",5,Dut,sendCommand,0,,"PASS oclamon adc config -e -p -c 7 -m -peak_min",PERTOS,xVT,AAB,,,1
1,2040,SET-OCLAMON-ON,"oclamon adc on",5,Dut,sendCommand,0,,"PASS oclamon adc on",PERTOS,xVT,AAB,,,1
1,2041,SET-OCLAMON-DVFM,"oclamon teldvfm on",5,Dut,sendCommand,0,,"PASS oclamon teldvfm on",PERTOS,xVT,AAB,,,1
1,2042,SET-OCLAMON-TAG-ON,"oclamon scenario_tags on",5,Dut,sendCommand,0,,"PASS oclamon scenario_tags on",PERTOS,xVT,AAB,,,1
1,2043,NRG-ON,"acc nrg on",5,Dut,sendCommand,0,,"PASS acc nrg on",PERTOS,xVT,AAB,,,1
1,2044,DUMP-PMU-2,"pmu rails",5,Dut,sendCommand,0,,"PASS pmu rails",PERTOS,xVT,AAB,,,1
1,2045,SET-PERF-0x2202133,"pmgr mode 0x2202133",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202133",PERTOS,xVT,AAB,,,1
1,2046,SET-PERF-0x2202136,"pmgr mode 0x2202136",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202136",PERTOS,xVT,AAB,,,1
1,2047,DUMP-DDR-INFO,"ddr print info",5,Dut,sendCommand,0,,"PASS ddr print info",PERTOS,xVT,AAB,,,1
1,2048,DUMP-DDR-LOTID,"ddr print lotid",5,Dut,sendCommand,0,,"PASS ddr print lotid",PERTOS,xVT,AAB,,,1
1,2049,TEST-SC54-DRAM-PKG,"sc run 54",100,Dut,sendCommand,0,,"PASS sc run 54",PERTOS,xVT,"A -> FA",,,1
1,2050,SET-PERF-0x0000104-2,"pmgr mode 0x0000104",5,Dut,sendCommand,0,,"PASS pmgr mode 0x0000104",PERTOS,xVT,AAB,,,1
1,2051,TEST-SC52-MTR,"sc run 52",5,Dut,sendCommand,0,,"PASS sc run 52",PERTOS,xVT,"A -> FA",,,1
1,2052,SET-PERF-0x2202134-2,"pmgr mode 0x2202134",5,Dut,sendCommand,0,,"PASS pmgr mode 0x2202134",PERTOS,xVT,AAB,,,1
1,2053,ECHO-ANE+BBQ-SECTION,"echo >>>> ANE + BBQ Tests <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,1
1,2054,SET-BBQ-3P-AMX-ANE-CFG-1,"bbq config fg 625 0 4 150  0 0 E B",5,Dut,sendCommand,0,,"PASS bbq config fg 625 0 4 150  0 0 E B",PERTOS,xVT,AAB,,,1
1,2055,SET-BBQ-3P-AMX-ANE-CFG-2,"bbq config 0xFF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xFF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
