ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,3001,RBM_STATUS_boot,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3002,Dump PMU Rails,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3003,Dump Perf State PreRBM NOM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3004,Dump SOC perf state PreRBM NOM,.socperf,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3005,Dump clock preRBM NOM,show clocks,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3006,disable charging 1,cfe pmuop -id=0 -read -reg=0x1932 -count=1,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3007,disable charging 2,cfe pmuop -id=0 -write -reg=0x1932 -val=0x1c,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3008,disable charging 3,cfe pmuop -id=0 -read -reg=0x1932 -count=1,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3009,RBM NOM,rbm-nom -tout 300,360,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,,1
1,3010,SOCHOT COUNT DUMP,.sochot-th,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3011,RBM NOM TEMP DUMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3012,RBM NOM MAXTEMP DUMP,.maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3013,RBM NOM TEMP and EVENT DUMP,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,3014,RBM NOM SOCHOT DUMP,.fs_s,5,runTest,runFS,0,,0,RBM,xVT,AAB,,,1
1,4001,RBM_DVFM_boot,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,4002,RBM DVFM,rbm-dvfm-soc-dcs -tout 300,360,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,,1
1,4003,RBM DVFM TEMP DUMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,4004,RBM DVFM MAXTEMP DUMP,.maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,4005,RBM DVFM TEMP and EVENT DUMP,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,4006,RBM DVFM SOC PERF COUNT DUMP,.socperfcnt,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,4007,RBM DVFM DCS PERF COUNT DUMP,.dcsperfcnt,5,Dut,sendCommand,1,,0,RBM,xVT,AAB,,,1
1,4008,RBM DVFM SOCHOT DUMP,.fs_s,5,runTest,runFS,0,,0,RBM,xVT,AAB,,,1
1,5001,RBM_PGT_boot,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,5002,RBM BBQ,rbm-bbq -tout 300,360,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,,1
