ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,2001,RTOS_Setup_Boot,FIXTURESIGNAL_BOOT_RTOS,60,Rush,restore,0,,SEGPE>,PERTOS,xVT,AAB,,,1
1,2002,print test plan version,echo TEST_PLAN V1 - Aruba A1 - 20190212,5,Rush,echo,0,,PASS echo,PERTOS,xVT,AAB,,,1
1,2003,disable charging 1,smb open 12 0,5,Dut,sendCommand,0,,PASS smb open 12 0,PERTOS,xVT,AAB,,,1
1,2004,disable charging 2,smb probe 12,5,Dut,sendCommand,0,,PASS smb probe 12,PERTOS,xVT,AAB,,,1
1,2005,disable charging 3,smb 12 0xea 0x1932,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932,PERTOS,xVT,AAB,,,1
1,2006,disable charging 4,smb 12 0xea 0x1932 0x1c,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932 0x1c,PERTOS,xVT,AAB,,,1
1,2007,disable charging 5,smb 12 0xea 0x1932,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932,PERTOS,xVT,AAB,,,1
1,2008,pmgr mode 0x1FF1211,pmgr mode 0x1FF1211,5,Dut,sendCommand,0,,PASS pmgr mode 0x1FF1211,PERTOS,xVT,AAB,,,1
1,2009,Dump Fuse ECID,fuse ecid,5,Dut,sendCommand,0,,PASS fuse ecid,PERTOS,xVT,AAB,,,1
1,2010,Dump Fuse Config,fuse config,5,Dut,sendCommand,0,,PASS fuse config,PERTOS,xVT,AAB,,,1
1,2011,Show DRAM Training,ddr print info,5,Dut,sendCommand,0,,PASS ddr print info,PERTOS,xVT,AAB,,,1
1,2012,Set to use Bin voltage,pmgr vmode bin,5,Dut,sendCommand,0,,PASS pmgr vmode bin,PERTOS,xVT,AAB,,,1
1,2013,PMU Rails Bin,pmu rails,5,Dut,sendCommand,0,,PASS pmu rails,PERTOS,xVT,AAB,,,1
1,2014,Set the number of clock jitter,os jitter 10,5,Dut,sendCommand,0,,PASS os jitter 10,PERTOS,xVT,AAB,,,1
1,2015,Temp Sense Test,sense hyst 7 7 1,5,Dut,sendCommand,0,,PASS sense hyst 7 7 1,PERTOS,xVT,AAB,,,1
1,2016,Enable Thermal Throttling PrePdump,sense thread resume,5,Dut,sendCommand,0,,PASS sense thread resume,PERTOS,xVT,AAB,,,1
1,2017,Set SOCHOT temperature to be 110C,sense sochot 115,5,Dut,sendCommand,0,,PASS sense sochot 115,PERTOS,xVT,AAB,,,1
1,2018,SET TOOHOT to be 95C,sense toohot 95 95 7,5,Dut,sendCommand,0,,PASS sense toohot 95 95 7,PERTOS,xVT,AAB,,,1
1,2019,enable DVTM,pmgr dvtm enable,5,Dut,sendCommand,0,,PASS pmgr dvtm enable,PERTOS,xVT,AAB,,,1
1,2020,enable DVMR,pmgr dvmr enable,5,Dut,sendCommand,0,,PASS pmgr dvmr enable,PERTOS,xVT,AAB,,,1
1,2021,set DRAM fresh rate,ddr trefi soc,5,Dut,sendCommand,0,,PASS ddr trefi soc,PERTOS,xVT,AAB,,,1
1,2022,DDR protect region for FS,mmu ddr-protect fsx,5,Dut,sendCommand,0,,PASS mmu ddr-protect fsx,PERTOS,xVT,AAB,,,1
1,2023,slave up CPU0,slave up acc,5,Dut,sendCommand,0,,PASS slave up acc,PERTOS,xVT,AAB,,,1
1,2024,Setup PMS,slave up pms mar_sram.con alloc,5,Dut,sendCommand,0,,PASS slave up pms mar_sram.con alloc,PERTOS,xVT,AAB,,,1
1,2025,Clock switcher config,clksw config pms 4 260 0x1FF1111 0x6FF5731,5,Dut,sendCommand,0,,PASS clksw config pms 4 260 0x1FF1111 0x6FF5731,PERTOS,xVT,AAB,,,1
1,2026,Clock switcher on,clksw on,5,Dut,sendCommand,0,,PASS clksw on,PERTOS,xVT,AAB,,,1
1,2027,enable sense tj,sense tj enable -s,5,Dut,sendCommand,0,,PASS sense tj enable -s,PERTOS,xVT,AAB,,,1
1,2028,sense telem enable,sense ts-test-telem config 10 125 1,5,Dut,sendCommand,0,,PASS sense ts-test-telem config 10 125 1,PERTOS,xVT,AAB,,,1
1,2029,sense skipmtr config,sense ts-test-telem enable -skipmtr,5,Dut,sendCommand,0,,PASS sense ts-test-telem enable -skipmtr,PERTOS,xVT,AAB,,,1
1,2030,temp sensor test,sc run 26 50,300,Dut,sendCommand,0,,PASS sc run 26 50,PERTOS,xVT,A -> FA,,,1
1,2031,sense telem disable,sense ts-test-telem disable,5,Dut,sendCommand,0,,PASS sense ts-test-telem disable,PERTOS,xVT,AAB,,,1
1,2032,disable sense tj,sense tj disable,5,Dut,sendCommand,0,,PASS sense tj disable,PERTOS,xVT,AAB,,,1
1,2033,Clock switcher off,clksw off,5,Dut,sendCommand,0,,PASS clksw off,PERTOS,xVT,AAB,,,1
1,2034,Temp Sensor value auto reset,sense reset auto,5,Dut,sendCommand,0,,PASS sense reset auto,PERTOS,xVT,AAB,,,1
1,2035,sense sc enable,sense ts-test-sc enable,5,Dut,sendCommand,0,,PASS sense ts-test-sc enable,PERTOS,xVT,AAB,,,1
1,2036,pmgr mode 0x4ff4233,pmgr mode 0x4ff4233,5,Dut,sendCommand,0,,PASS pmgr mode 0x4ff4233,PERTOS,xVT,AAB,,,1
1,2037,DRAM Package Test,sc run 54,300,Dut,sendCommand,0,,PASS sc run 54,PERTOS,xVT,A -> FA,,,1
1,2038,DRAM Cell Test,sc run 55,300,Dut,sendCommand,0,,PASS sc run 55,PERTOS,xVT,A -> FA,,,1
1,2039,Dual core KHartmann on all of DRAM,sc run 56,300,Dut,sendCommand,0,,PASS sc run 56,PERTOS,xVT,A -> FA,,,1
1,2040,BBQ Config,bbq config fg 625 0 4 150 0 0 F C,5,Dut,sendCommand,0,,PASS bbq config fg 625 0 4 150 0 0 F C,PERTOS,xVT,AAB,,,1
1,2041,BBQ Config Variant,bbq config 0xFF 500 150 5 100 24 6 F C,5,Dut,sendCommand,0,,PASS bbq config 0xFF 500 150 5 100 24 6 F C,PERTOS,xVT,AAB,,,1
1,2042,enable BBQ,bbq on,5,Dut,sendCommand,0,,PASS bbq on,PERTOS,xVT,AAB,,,1
1,2043,Clock switcher config,clksw config pms 4 10000 -j 2500 0x1FF1211 0x1FF1211 0x1FF1211 0x2FF2222 0x3FF3222 0x4FF4233 0x5FF5233 0x6FF5233,5,Dut,sendCommand,0,,PASS clksw config pms 4 10000 -j 2500 0x1FF1211 0x1FF1211 0x1FF1211 0x2FF2222 0x3FF3222 0x4FF4233 0x5FF5233 0x6FF5233,PERTOS,xVT,AAB,,,1
1,2044,Clock switcher on,clksw on,5,Dut,sendCommand,0,,PASS clksw on,PERTOS,xVT,AAB,,,1
1,2045,Core M$ Bonfire Test 2,sc run 6 4,300,Dut,sendCommand,0,,PASS sc run 6 4,PERTOS,xVT,A -> FA,,,1
1,2046,Multi-core BBQ 64 Test 2,sc run 19 50,300,Dut,sendCommand,0,,PASS sc run 19 50,PERTOS,xVT,A -> FA,,,1
1,2047,Clock switcher off,clksw off,5,Dut,sendCommand,0,,PASS clksw off,PERTOS,xVT,AAB,,,1
1,2048,disable BBQ,bbq off,5,Dut,sendCommand,0,,PASS bbq off,PERTOS,xVT,AAB,,,1
1,2049,BBQ Config,bbq config fg 625 0 4 150 0 0 F C,5,Dut,sendCommand,0,,PASS bbq config fg 625 0 4 150 0 0 F C,PERTOS,xVT,AAB,,,1
1,2050,BBQ Config Variant,bbq config 0xFF 500 150 5 100 24 6 F C,5,Dut,sendCommand,0,,PASS bbq config 0xFF 500 150 5 100 24 6 F C,PERTOS,xVT,AAB,,,1
1,2051,enable BBQ,bbq on,5,Dut,sendCommand,0,,PASS bbq on,PERTOS,xVT,AAB,,,1
1,2052,pmgr mode 0x73F5231,pmgr mode 0x73F5231,5,Dut,sendCommand,0,,PASS pmgr mode 0x73F5231,PERTOS,xVT,AAB,,,1
1,2053,slave down PCORE3,slave down 7,5,Dut,sendCommand,0,,PASS slave down 7,PERTOS,xVT,AAB,,,1
1,2054,slave down PCORE2,slave down 6,5,Dut,sendCommand,0,,PASS slave down 6,PERTOS,xVT,AAB,,,1
1,2055,BBQ Config Variant,bbq config 0x3F 500 150 5 100 24 6 F C,5,Dut,sendCommand,0,,PASS bbq config 0x3F 500 150 5 100 24 6 F C,PERTOS,xVT,AAB,,,1
1,2056,Core M$ Bonfire Test 3,sc run 6 5 -coremask 0xC0,300,Dut,sendCommand,0,,PASS sc run 6 5 -coremask 0xC0,PERTOS,xVT,A -> FA,,,1
1,2057,ACC multi-core iCache Test 3,sc run 13 10 -coremask 0xC0,300,Dut,sendCommand,0,,PASS sc run 13 10 -coremask 0xC0,PERTOS,xVT,A -> FA,,,1
1,2058,Multi-core BBQ 64 Test 3,sc run 19 10 -coremask 0xC0,300,Dut,sendCommand,0,,PASS sc run 19 10 -coremask 0xC0,PERTOS,xVT,A -> FA,,,1
1,2059,slave down PCORE1,slave down 5,5,Dut,sendCommand,0,,PASS slave down 5,PERTOS,xVT,AAB,,,1
1,2060,BBQ Config Variant,bbq config 0x1F 500 150 5 100 24 6 F C,5,Dut,sendCommand,0,,PASS bbq config 0x1F 500 150 5 100 24 6 F C,PERTOS,xVT,AAB,,,1
1,2061,pmgr mode 0x81F5231,pmgr mode 0x81F5231,5,Dut,sendCommand,0,,PASS pmgr mode 0x81F5231,PERTOS,xVT,AAB,,,1
1,2062,Core M$ Bonfire Test 4,sc run 6 5 -coremask 0xE0,300,Dut,sendCommand,0,,PASS sc run 6 5 -coremask 0xE0,PERTOS,xVT,A -> FA,,,1
1,2063,Multi-core BBQ 64 Test 4,sc run 19 10 -coremask 0xE0,300,Dut,sendCommand,0,,PASS sc run 19 10 -coremask 0xE0,PERTOS,xVT,A -> FA,,,1
1,2064,pmgr mode 0x91F5231 ,pmgr mode 0x91F5231,5,Dut,sendCommand,0,,PASS pmgr mode 0x91F5231,PERTOS,xVT,AAB,,,1
1,2065,Core M$ Bonfire Test 5,sc run 6 5 -coremask 0xE0,300,Dut,sendCommand,0,,PASS sc run 6 5 -coremask 0xE0,PERTOS,xVT,A -> FA,,,1
1,2066,Multi-core BBQ 64 Test 5,sc run 19 10 -coremask 0xE0,300,Dut,sendCommand,0,,PASS sc run 19 10 -coremask 0xE0,PERTOS,xVT,A -> FA,,,1
1,2067,BBQ Config Variant,bbq config 0x1F 500 150 5 100 24 6 F A,5,Dut,sendCommand,0,,PASS bbq config 0x1F 500 150 5 100 24 6 F A,PERTOS,xVT,AAB,,,1
1,2068,start BBQ,bbq start,5,Dut,sendCommand,0,,PASS bbq start,PERTOS,xVT,AAB,,,1
1,2069,stop BBQ,bbq stop,5,Dut,sendCommand,0,,PASS bbq stop,PERTOS,xVT,AAB,,,1
1,2070,slave down PCORE1,slave up 5,5,Dut,sendCommand,0,,PASS slave up 5,PERTOS,xVT,AAB,,,1
1,2071,slave down PCORE2,slave up 6,5,Dut,sendCommand,0,,PASS slave up 6,PERTOS,xVT,AAB,,,1
1,2072,slave down PCORE3,slave up 7,5,Dut,sendCommand,0,,PASS slave up 7,PERTOS,xVT,AAB,,,1
1,2073,disable BBQ,bbq off,5,Dut,sendCommand,0,,PASS bbq off,PERTOS,xVT,AAB,,,1
1,2074,Clock switcher config,clksw config pms 4 100000 -j 20000 0x1FF1211 0x1FF1211 0x1FF1211 0x1FF1211 0x2FF2222 0x3FF3222 0x4FF4233 0x5FF5233 0x6FF5233,5,Dut,sendCommand,0,,PASS clksw config pms 4 100000 -j 20000 0x1FF1211 0x1FF1211 0x1FF1211 0x1FF1211 0x2FF2222 0x3FF3222 0x4FF4233 0x5FF5233 0x6FF5233,PERTOS,xVT,AAB,,,1
1,2075,Clock switcher on,clksw on,5,Dut,sendCommand,0,,PASS clksw on,PERTOS,xVT,AAB,,,1
1,2076,Bonfire all bonfire tests,sc run 605,1500,Dut,sendCommand,0,,PASS sc run 605,PERTOS,xVT,A -> FA,800,,1
1,2077,Clock switch off,clksw off,5,Dut,sendCommand,0,,PASS clksw off,PERTOS,xVT,AAB,,,1
1,2078,pmgr mode 0x2FF2233,pmgr mode 0x2FF2233,5,Dut,sendCommand,0,,PASS pmgr mode 0x2FF2233,PERTOS,xVT,AAB,,,1
1,2079,DDR margin test,ddr margin test 0x303 30,300,Dut,sendCommand,0,,PASS ddr margin test 0x303 30,PERTOS,xVT,A -> FA,,,1
1,2080,switch to DRAM,xfer con,5,Dut,sendCommand,0,,PASS xfer con,PERTOS,xVT,AAB,,,1
1,2081,pmgr mode 0x1FF1211,pmgr mode 0x1FF1211,5,Dut,sendCommand,0,,PASS pmgr mode 0x1FF1211,PERTOS,xVT,AAB,,,1
1,2082,DDR protect region for FS,mmu ddr-protect fsx,5,Dut,sendCommand,0,,PASS mmu ddr-protect fsx,PERTOS,xVT,AAB,,,1
1,2083,set up jitter,os jitter 10,5,Dut,sendCommand,0,,PASS os jitter 10,PERTOS,xVT,AAB,,,1
1,2084,setup temp hysteresis settings,sense hyst 7 7 1,5,Dut,sendCommand,0,,PASS sense hyst 7 7 1,PERTOS,xVT,AAB,,,1
1,2085,resume temp throttling thread,sense thread resume,5,Dut,sendCommand,0,,PASS sense thread resume,PERTOS,xVT,AAB,,,1
1,2086,setup SOCHOT temp,sense sochot 120,5,Dut,sendCommand,0,,PASS sense sochot 120,PERTOS,xVT,AAB,,,1
1,2087,setup TOOHOT temp,sense toohot 100 100 7,5,Dut,sendCommand,0,,PASS sense toohot 100 100 7,PERTOS,xVT,AAB,,,1
1,2088,sense reset auto,sense reset auto,5,Dut,sendCommand,0,,PASS sense reset auto,PERTOS,xVT,AAB,,,1
1,2089,sense sc enable,sense ts-test-sc enable,5,Dut,sendCommand,0,,PASS sense ts-test-sc enable,PERTOS,xVT,AAB,,,1
1,2090,Start CPU0,slave up acc,5,Dut,sendCommand,0,,PASS slave up acc,PERTOS,xVT,AAB,,,1
1,2091,linear mapping,mmu ddr-linear,5,Dut,sendCommand,0,,PASS mmu ddr-linear,PERTOS,xVT,AAB,,,1
1,2092,fs mount ddr,fs mount ddr,5,Dut,sendCommand,0,,PASS fs mount ddr,PERTOS,xVT,AAB,,,1
1,2093,fs mount ddrx,fs mount ddrx,5,Dut,sendCommand,0,,PASS fs mount ddrx,PERTOS,xVT,AAB,,,1
1,2094,slave up sio,slave up sio mar_dram.con alloc,5,Dut,sendCommand,0,,PASS slave up sio mar_dram.con alloc,PERTOS,xVT,AAB,,,1
1,2095,slave up aud,slave up aud mar_dram.con alloc,5,Dut,sendCommand,0,,PASS slave up aud mar_dram.con alloc,PERTOS,xVT,AAB,,,1
1,2096,slave up see,slave up sve mar_dram.con alloc,5,Dut,sendCommand,0,,PASS slave up sve mar_dram.con alloc,PERTOS,xVT,AAB,,,1
1,2097,slave up pms,slave up pms mar_dram.con alloc,5,Dut,sendCommand,0,,PASS slave up pms mar_dram.con alloc,PERTOS,xVT,AAB,,,1
1,2098,slave up aop,slave up aop mar_dram.con sram,5,Dut,sendCommand,0,,PASS slave up aop mar_dram.con sram,PERTOS,xVT,AAB,,,1
1,2099,slave up smc,slave up smc mar_dram.con alloc,5,Dut,sendCommand,0,,PASS slave up smc mar_dram.con alloc,PERTOS,xVT,AAB,,,1
