ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
0,2001,RTOS_Setup_Boot,FIXTURESIGNAL_BOOT_RTOS,60,Rush,restore,0,,SEGPE>,PERTOS,xVT,AAB,,,1
1,2002,print test plan version,echo TEST_PLAN V3 - Aruba A1 - 20190509,5,Rush,echo,0,,PASS echo,PERTOS,xVT,AAB,,,1
1,2003,disable charging 1,smb open 12 0,5,Dut,sendCommand,0,,PASS smb open 12 0,PERTOS,xVT,AAB,,,1
1,2004,disable charging 2,smb probe 12,5,Dut,sendCommand,0,,PASS smb probe 12,PERTOS,xVT,AAB,,,1
1,2005,disable charging 3,smb 12 0xea 0x1932,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932,PERTOS,xVT,AAB,,,1
1,2006,disable charging 4,smb 12 0xea 0x1932 0x1c,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932 0x1c,PERTOS,xVT,AAB,,,1
1,2007,disable charging 5,smb 12 0xea 0x1932,5,Dut,sendCommand,0,,PASS smb 12 0xea 0x1932,PERTOS,xVT,AAB,,,1
1,2008,pmgr offset -p8 +12500 -p9 +50000,pmgr offset -p8 +12500 -p9 +50000,5,Dut,sendCommand,0,,PASS,PERTOS,xVT,AAB,,,1
1,2009,pmgr mode 0x1FF1211,pmgr mode 0x1FF1211,5,Dut,sendCommand,0,,PASS pmgr mode 0x1FF1211,PERTOS,xVT,AAB,,,1
1,2010,Dump Fuse ECID,fuse ecid,5,Dut,sendCommand,0,,PASS fuse ecid,PERTOS,xVT,AAB,,,1
1,2011,Dump Fuse Config,fuse config,5,Dut,sendCommand,0,,PASS fuse config,PERTOS,xVT,AAB,,,1
1,2012,Show DRAM Training,ddr print info,5,Dut,sendCommand,0,,PASS ddr print info,PERTOS,xVT,AAB,,,1
1,2013,Set to use Bin voltage,pmgr vmode bin,5,Dut,sendCommand,0,,PASS pmgr vmode bin,PERTOS,xVT,AAB,,,1
1,2014,PMU Rails Bin,pmu rails,5,Dut,sendCommand,0,,PASS pmu rails,PERTOS,xVT,AAB,,,1
1,2015,Set the number of clock jitter,os jitter 10,5,Dut,sendCommand,0,,PASS os jitter 10,PERTOS,xVT,AAB,,,1
1,2016,Temp Sense Test,sense hyst 7 7 1,5,Dut,sendCommand,0,,PASS sense hyst 7 7 1,PERTOS,xVT,AAB,,,1
1,2017,Enable Thermal Throttling PrePdump,sense thread resume,5,Dut,sendCommand,0,,PASS sense thread resume,PERTOS,xVT,AAB,,,1
1,2018,Set SOCHOT temperature to be 110C,sense sochot 115,5,Dut,sendCommand,0,,PASS sense sochot 115,PERTOS,xVT,AAB,,,1
1,2019,SET TOOHOT to be 95C,sense toohot 95 95 7,5,Dut,sendCommand,0,,PASS sense toohot 95 95 7,PERTOS,xVT,AAB,,,1
1,2020,enable DVTM,pmgr dvtm enable,5,Dut,sendCommand,0,,PASS pmgr dvtm enable,PERTOS,xVT,AAB,,,1
1,2021,enable DVMR,pmgr dvmr enable,5,Dut,sendCommand,0,,PASS pmgr dvmr enable,PERTOS,xVT,AAB,,,1
1,2022,set DRAM fresh rate,ddr trefi soc,5,Dut,sendCommand,0,,PASS ddr trefi soc,PERTOS,xVT,AAB,,,1
1,2023,DDR protect region for FS,mmu ddr-protect fsx,5,Dut,sendCommand,0,,PASS mmu ddr-protect fsx,PERTOS,xVT,AAB,,,1
1,2024,slave up CPU0,slave up acc,5,Dut,sendCommand,0,,PASS slave up acc,PERTOS,xVT,AAB,,,1
1,2025,Setup PMS,slave up pms mar_sram.con alloc,5,Dut,sendCommand,0,,PASS slave up pms mar_sram.con alloc,PERTOS,xVT,AAB,,,1
1,2026,Clock switcher config,clksw config pms 4 260 0x1FF1111 0x6FF5731,5,Dut,sendCommand,0,,PASS clksw config pms 4 260 0x1FF1111 0x6FF5731,PERTOS,xVT,AAB,,,1
1,2027,Clock switcher on,clksw on,5,Dut,sendCommand,0,,PASS clksw on,PERTOS,xVT,AAB,,,1
1,2028,enable sense tj,sense tj enable -s,5,Dut,sendCommand,0,,PASS sense tj enable -s,PERTOS,xVT,AAB,,,1
1,2029,sense telem enable,sense ts-test-telem config 10 125 1,5,Dut,sendCommand,0,,PASS sense ts-test-telem config 10 125 1,PERTOS,xVT,AAB,,,1
1,2030,sense skipmtr config,sense ts-test-telem enable -skipmtr,5,Dut,sendCommand,0,,PASS sense ts-test-telem enable -skipmtr,PERTOS,xVT,AAB,,,1
