group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,limitPassPattern,limitTruePattern,HexValue,Attribute
xVT,TestTime,s,,,,,,,0,0
xVT,MLB_Num,,,,,,,,0,1
xVT,boardid,,,,,,,,1,1
xVT,CPRV,,,,,,,,0,1
xVT,ECID Fuse,,,,,,,,0,1
xVT,Lot ID,,,,,,,,0,1
xVT,Wafer,,,,,,,,0,1
xVT,X Pos,,,,,,,,0,1
xVT,Y Pos,,,,,,,,0,1
xVT,Check Defective Cores,,,,,,,,1,0
xVT,VCPU,uV,,,,,,,0,0
xVT,VGPU,uV,,,,,,,0,0
xVT,VSOC,uV,,,,,,,0,0
xVT,VDDR1V8,uV,,,,,,,0,0
xVT,VDDR1V1,uV,,,,,,,0,0
xVT,VFIXED,uV,,,,,,,0,0
xVT,VBUCK6,uV,,,,,,,0,0
xVT,VCPU_SRAM,uV,,,,,,,0,0
xVT,VGPU_SRAM,uV,,,,,,,0,0
xVT,VDCS_DDR,uV,,,,,,,0,0
xVT,VDDQL_DDR,uV,,,,,,,0,0
xVT,VECPU,uV,,,,,,,0,0
xVT,MODEL_NUMBER,,,,,,,,0,0
xVT,IO_BINNING_REVISION,,,,,,,,0,0
xVT,IO_LEAKAGE_CPU_SRAM,,,,,,,,0,0
xVT,IO_LEAKAGE_ECPU,,,,,,,,0,0
xVT,IO_LEAKAGE_FUSE,,,,,,,,0,0
xVT,IO_LEAKAGE_GPU,,,,,,,,0,0
xVT,IO_LEAKAGE_GPU_SRAM,,,,,,,,0,0
xVT,IO_LEAKAGE_PCPU,,,,,,,,0,0
xVT,IO_LEAKAGE_VDD_DCS,,,,,,,,0,0
xVT,IO_LEAKAGE_VDD_FIXED,,,,,,,,0,0
xVT,IO_LEAKAGE_VDD_LOW,,,,,,,,0,0
xVT,IO_LEAKAGE_VDD_VAR_SOC,,,,,,,,0,0
xVT,MODEL_NUMBER,,,,,,,,0,0
xVT,FUSE_REV,,,,,,,,1,0
xVT,CPU_SRAM_IDS,uV,,,,,,,0,0
xVT,GPU_SRAM_IDS,uV,,,,,,,0,0
xVT,LOW_IDS,uV,,,,,,,0,0
xVT,MC601,uV,,,,,,,0,0
xVT,MC602,uV,,,,,,,0,0
xVT,MC603,uV,,,,,,,0,0
xVT,MC604,uV,,,,,,,0,0
xVT,MC605,uV,,,,,,,0,0
xVT,MC615,uV,,,,,,,0,0
xVT,MC616,uV,,,,,,,0,0
xVT,MC701,uV,,,,,,,0,0
xVT,MC702,uV,,,,,,,0,0
xVT,MC703,uV,,,,,,,0,0
xVT,MC704,uV,,,,,,,0,0
xVT,MC715,uV,,,,,,,0,0
xVT,MC716,uV,,,,,,,0,0
xVT,MS001,uV,,,,,,,0,0
xVT,MS002,uV,,,,,,,0,0
xVT,Icpu,uA,,,,,,,0,0
xVT,Iecpu,uA,,,,,,,0,0
xVT,Vcpu,uV,,,,,,,0,0
xVT,Vecpu,uV,,,,,,,0,0
xVT,Vsoc,uV,,,,,,,0,0
xVT,Vddr1v1,uV,,,,,,,0,0
xVT,ACC0,oC,,,,,,,0,0
xVT,ACC1,oC,,,,,,,0,0
xVT,ACC2,oC,,,,,,,0,0
xVT,Ch0,oC,,,,,,,0,0
xVT,Ch1,oC,,,,,,,0,0
xVT,Ch2,oC,,,,,,,0,0
xVT,Ch3,oC,,,,,,,0,0
xVT,GPU,oC,,,,,,,0,0
xVT,SOC0,oC,,,,,,,0,0
xVT,SOC1,oC,,,,,,,0,0
xVT,SOC3,oC,,,,,,,0,0
xVT,ACC_ADC,Mhz,,,,,,,0,0
xVT,AJPEG_IP,Mhz,,,,,,,0,0
xVT,AJPEG_WRAP,Mhz,,,,,,,0,0
xVT,ANS2,Mhz,,,,,,,0,0
xVT,ANS2_AES,Mhz,,,,,,,0,0
xVT,ANS2_CPU,Mhz,,,,,,,0,0
xVT,AVD,Mhz,,,,,,,0,0
xVT,DISP0_2X,Mhz,,,,,,,0,0
xVT,ECPUPLL,Mhz,,,,,,,0,0
xVT,FAST_AF,Mhz,,,,,,,0,0
xVT,FAST_PMGR,Mhz,,,,,,,0,0
xVT,GFX_FENDER,Mhz,,,,,,,0,0
xVT,GPIO,Mhz,,,,,,,0,0
xVT,HFD,Mhz,,,,,,,0,0
xVT,HSICPHY_REF_12M,Mhz,,,,,,,0,0
xVT,ISP,Mhz,,,,,,,0,0
xVT,ISP_AHFD,Mhz,,,,,,,0,0
xVT,ISP_C,Mhz,,,,,,,0,0
xVT,ISP_CNV,Mhz,,,,,,,0,0
xVT,ISP_PEARL,Mhz,,,,,,,0,0
xVT,ISP_REF0,Mhz,,,,,,,0,0
xVT,ISP_REF1,Mhz,,,,,,,0,0
xVT,ISP_REF2,Mhz,,,,,,,0,0
xVT,ISP_SENSOR0_REF,Mhz,,,,,,,0,0
xVT,ISP_SENSOR1_REF,Mhz,,,,,,,0,0
xVT,ISP_SENSOR2_REF,Mhz,,,,,,,0,0
xVT,LPDP_RX_REF,Mhz,,,,,,,0,0
xVT,MCA0_M,Mhz,,,,,,,0,0
xVT,MCA1_M,Mhz,,,,,,,0,0
xVT,MCA2_M,Mhz,,,,,,,0,0
xVT,MCA3_M,Mhz,,,,,,,0,0
xVT,MCA4_M,Mhz,,,,,,,0,0
xVT,MCA5_M,Mhz,,,,,,,0,0
xVT,MCU_BYP,Mhz,,,,,,,0,0
xVT,MCU_REF,Mhz,,,,,,,0,0
xVT,MSR,Mhz,,,,,,,0,0
xVT,NCO0,Mhz,,,,,,,0,0
xVT,NCO1,Mhz,,,,,,,0,0
xVT,NCO2,Mhz,,,,,,,0,0
xVT,NCO3,Mhz,,,,,,,0,0
xVT,NCO4,Mhz,,,,,,,0,0
xVT,NCO_ALG0,Mhz,,,,,,,0,0
xVT,NCO_ALG1,Mhz,,,,,,,0,0
xVT,NCO_REF0,Mhz,,,,,,,0,0
xVT,NCO_REF1,Mhz,,,,,,,0,0
xVT,OHCI_48M,Mhz,,,,,,,0,0
xVT,PCPUPLL,Mhz,,,,,,,0,0
xVT,PLL0,Mhz,,,,,,,0,0
xVT,PLL1,Mhz,,,,,,,0,0
xVT,PLL2,Mhz,,,,,,,0,0
xVT,PLL3,Mhz,,,,,,,0,0
xVT,PLL4,Mhz,,,,,,,0,0
xVT,PLL5,Mhz,,,,,,,0,0
xVT,PLL_PCIE,Mhz,,,,,,,0,0
xVT,PMP,Mhz,,,,,,,0,0
xVT,S0,Mhz,,,,,,,0,0
xVT,S1,Mhz,,,,,,,0,0
xVT,S2,Mhz,,,,,,,0,0
xVT,S3,Mhz,,,,,,,0,0
xVT,SBR,Mhz,,,,,,,0,0
xVT,SEP,Mhz,,,,,,,0,0
xVT,SIO_AES,Mhz,,,,,,,0,0
xVT,SIO_C,Mhz,,,,,,,0,0
xVT,SIO_P,Mhz,,,,,,,0,0
xVT,SLOW_AF,Mhz,,,,,,,0,0
xVT,SPI0_N,Mhz,,,,,,,0,0
xVT,SPI1_N,Mhz,,,,,,,0,0
xVT,SPI2_N,Mhz,,,,,,,0,0
xVT,SPI3_N,Mhz,,,,,,,0,0
xVT,TEMP_MIPI_DSI,Mhz,,,,,,,0,0
xVT,TMPS,Mhz,,,,,,,0,0
xVT,USB,Mhz,,,,,,,0,0
xVT,USB480_0,Mhz,,,,,,,0,0
xVT,VDEC,Mhz,,,,,,,0,0
